external_id	msigdbr_id	db	gs_name	gs_description
GO:0031032	M13335	GO	GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures containing both actin and myosin or paramyosin. The myosin may be organized into filaments. [GOC:dph, GOC:jl, GOC:mah]
GO:0002526	M6557	GO	GOBP_ACUTE_INFLAMMATORY_RESPONSE	Inflammation which comprises a rapid, short-lived, relatively uniform response to acute injury or antigenic challenge and is characterized by accumulations of fluid, plasma proteins, and granulocytic leukocytes. An acute inflammatory response occurs within a matter of minutes or hours, and either resolves within a few days or becomes a chronic inflammatory response. [GO_REF:0000022, GOC:add, ISBN:0781735149]
GO:0002438	M22255	GO	GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	An acute inflammatory response to an antigenic stimulus. An acute inflammatory response occurs within a matter of minutes or hours, and either resolves within a few days or becomes a chronic inflammatory response. [GO_REF:0000022, GOC:add, ISBN:0781735149]
GO:0055090	M10118	GO	GOBP_ACYLGLYCEROL_HOMEOSTASIS	Any process involved in the maintenance of an internal steady state of acylglycerol within an organism or cell. [GOC:BHF, GOC:rl]
GO:0034196	M23250	GO	GOBP_ACYLGLYCEROL_TRANSPORT	The directed movement of an acylglycerol into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. An acylglycerol is any mono-, di- or triester of glycerol with (one or more) fatty acids. [GOC:BHF, GOC:rl]
GO:0090716	M48511	GO	GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE	An immune response directed against a previously encountered antigen, being quicker and quantitatively better compared with the primary response. [GOC:add, PMID:26831526]
GO:0002250	M13847	GO	GOBP_ADAPTIVE_IMMUNE_RESPONSE	An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory). [GO_REF:0000022, GOC:add, ISBN:0781735149]
GO:0002460	M16548	GO	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus. [GOC:add, GOC:mtg_sensu, ISBN:0781735149, ISBN:1405196831]
GO:1990845	M25419	GO	GOBP_ADAPTIVE_THERMOGENESIS	The regulated production of heat in response to short term environmental changes, such as stress, diet or reduced temperature. [PMID:17260010, PMID:20363363]
GO:0015853	M45091	GO	GOBP_ADENINE_TRANSPORT	The directed movement of adenine, 6-aminopurine, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:go_curators, ISBN:0198506732]
GO:0021984	M15797	GO	GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	The progression of the adenohypophysis over time from its initial formation until its mature state. The adenohypophysis is the anterior part of the pituitary. It secretes a variety of hormones and its function is regulated by the hypothalamus. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]
GO:0046085	M23773	GO	GOBP_ADENOSINE_METABOLIC_PROCESS	The chemical reactions and pathways involving adenosine, adenine riboside, a ribonucleoside found widely distributed in cells of every type as the free nucleoside and in combination in nucleic acids and various nucleoside coenzymes. [GOC:go_curators]
GO:0006382	M22406	GO	GOBP_ADENOSINE_TO_INOSINE_EDITING	The conversion of an adenosine residue to inosine in an RNA molecule by deamination. [PMID:11092837]
GO:0032238	M46765	GO	GOBP_ADENOSINE_TRANSPORT	The directed movement of adenosine, adenine riboside, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:mah]
GO:0034333	M12531	GO	GOBP_ADHERENS_JUNCTION_ASSEMBLY	The aggregation, arrangement and bonding together of a set of components to form an adherens junction. An adherens junction is a cell-cell junction composed of the epithelial cadherin-catenin complex at which the cytoplasmic face of the plasma membrane is attached to actin filaments. [GOC:aruk, GOC:bc, GOC:mah]
GO:0034334	M23262	GO	GOBP_ADHERENS_JUNCTION_MAINTENANCE	The maintenance of an adherens junction. An adherens junction is a cell-cell junction composed of the epithelial cadherin-catenin complex at which the cytoplasmic face of the plasma membrane is attached to actin filaments. [GOC:aruk, GOC:bc, GOC:mah]
GO:0034332	M15116	GO	GOBP_ADHERENS_JUNCTION_ORGANIZATION	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an adherens junction. An adherens junction is a cell-cell junction composed of the epithelial cadherin-catenin complex at which the cytoplasmic face of the plasma membrane is attached to actin filaments. [GOC:aruk, GOC:bc, GOC:dph, GOC:jl, GOC:mah]
GO:0044406	M23646	GO	GOBP_ADHESION_OF_SYMBIONT_TO_HOST	The attachment of a symbiont to its host via either adhesion molecules, general stickiness, or other mechanisms. The host is defined as the larger of the organisms involved in a symbiotic interaction. [GOC:bf, GOC:cc, GOC:dos, GOC:jl]
GO:0044650	M23655	GO	GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL	The attachment of a symbiont to a host cell via adhesion molecules, general stickiness etc., either directly or indirectly. [GOC:jl]
GO:0060612	M16487	GO	GOBP_ADIPOSE_TISSUE_DEVELOPMENT	The process whose specific outcome is the progression of adipose tissue over time, from its formation to the mature structure. Adipose tissue is specialized tissue that is used to store fat. [GOC:dph]
GO:0006172	M22382	GO	GOBP_ADP_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of ADP, adenosine 5'-diphosphate. [GOC:ai]
GO:0015866	M40385	GO	GOBP_ADP_TRANSPORT	The directed movement of ADP, adenosine diphosphate, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]
GO:0030325	M13778	GO	GOBP_ADRENAL_GLAND_DEVELOPMENT	The process whose specific outcome is the progression of the adrenal gland over time, from its formation to the mature structure. This gland can either be a discrete structure located bilaterally above each kidney, or a cluster of cells in the head kidney that perform the functions of the adrenal gland. In either case, this organ consists of two cells types, aminergic chromaffin cells and steroidogenic cortical cells. [GOC:dgh]
GO:0071875	M13056	GO	GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	A G protein-coupled receptor signaling pathway initiated by a ligand binding to an adrenergic receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process. [GOC:BHF]
GO:0030534	M10832	GO	GOBP_ADULT_BEHAVIOR	Behavior in a fully developed and mature organism. [GOC:mah, ISBN:0877797099]
GO:0008343	M22550	GO	GOBP_ADULT_FEEDING_BEHAVIOR	Feeding behavior in a fully developed and mature organism. [GOC:mah]
GO:0007512	M15404	GO	GOBP_ADULT_HEART_DEVELOPMENT	The process whose specific outcome is the progression of the adult heart over time, from its formation to the mature structure. [GOC:bf]
GO:0008344	M11578	GO	GOBP_ADULT_LOCOMOTORY_BEHAVIOR	Locomotory behavior in a fully developed and mature organism. [GOC:ai]
GO:0009060	M11785	GO	GOBP_AEROBIC_RESPIRATION	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor. [GOC:das, GOC:jl, ISBN:0140513590]
GO:0035973	M23418	GO	GOBP_AGGREPHAGY	The selective degradation of protein aggregates by macroautophagy. [GOC:autophagy, GOC:kmv, PMID:18508269, PMID:25062811]
GO:0070842	M24415	GO	GOBP_AGGRESOME_ASSEMBLY	The aggregation, arrangement and bonding together of a set of components to form an aggresome; requires the microtubule cytoskeleton and dynein. [GOC:BHF, GOC:rl, PMID:14675537]
GO:0002118	M22222	GO	GOBP_AGGRESSIVE_BEHAVIOR	A behavioral interaction between organisms in which one organism has the intention of inflicting physical damage on another individual. [GOC:hjd]
GO:0006522	M48368	GO	GOBP_ALANINE_METABOLIC_PROCESS	The chemical reactions and pathways involving alanine, 2-aminopropanoic acid. [GOC:go_curators]
GO:0032328	M23076	GO	GOBP_ALANINE_TRANSPORT	The directed movement of alanine, 2-aminopropanoic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:mah]
GO:0046165	M16484	GO	GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of alcohols, any of a class of compounds containing one or more hydroxyl groups attached to a saturated carbon atom. [GOC:ai]
GO:0046164	M16620	GO	GOBP_ALCOHOL_CATABOLIC_PROCESS	The chemical reactions and pathways resulting in the breakdown of alcohols, any of a class of compounds containing one or more hydroxyl groups attached to a saturated carbon atom. [GOC:ai]
GO:0006066	M17063	GO	GOBP_ALCOHOL_METABOLIC_PROCESS	The chemical reactions and pathways involving alcohols, any of a class of compounds containing one or more hydroxyl groups attached to a saturated carbon atom. [ISBN:0198506732]
GO:0046184	M23776	GO	GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of aldehydes, any organic compound with the formula R-CH=O. [GOC:ai]
GO:0046185	M11096	GO	GOBP_ALDEHYDE_CATABOLIC_PROCESS	The chemical reactions and pathways resulting in the breakdown of aldehydes, any organic compound with the formula R-CH=O. [GOC:ai]
GO:0019401	M22873	GO	GOBP_ALDITOL_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of alditols, any polyhydric alcohol derived from the acyclic form of a monosaccharide by reduction of its aldehyde or keto group to an alcoholic group. [ISBN:0198506732]
GO:0019405	M22874	GO	GOBP_ALDITOL_CATABOLIC_PROCESS	The chemical reactions and pathways resulting in the breakdown of alditols, any polyhydric alcohol derived from the acyclic form of a monosaccharide by reduction of its aldehyde or keto group to an alcoholic group. [ISBN:0198506732]
GO:0019400	M12277	GO	GOBP_ALDITOL_METABOLIC_PROCESS	The chemical reactions and pathways involving alditols, any polyhydric alcohol derived from the acyclic form of a monosaccharide by reduction of its aldehyde or keto group to an alcoholic group. [ISBN:0198506732]
GO:0052646	M29240	GO	GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	The chemical reactions and pathways involving alditol phosphates, any phosphorylated polyhydric alcohol derived from the acyclic form of a monosaccharide by reduction of its aldehyde or keto group to an alcoholic group. [PMID:30240188]
GO:0009820	M16310	GO	GOBP_ALKALOID_METABOLIC_PROCESS	The chemical reactions and pathways involving alkaloids, nitrogen containing natural products which are not otherwise classified as peptides, nonprotein amino acids, amines, cyanogenic glycosides, glucosinolates, cofactors, phytohormones or primary metabolites (such as purine or pyrimidine bases). [GOC:lr, ISBN:0122146743]
GO:0000255	M42583	GO	GOBP_ALLANTOIN_METABOLIC_PROCESS	The chemical reactions and pathways involving allantoin, (2,5-dioxo-4-imidazolidinyl)urea, an intermediate or end product of purine catabolism. [GOC:mah, ISBN:0198547684]
GO:0035881	M23401	GO	GOBP_AMACRINE_CELL_DIFFERENTIATION	The process in which a relatively unspecialized cell acquires specialized features of an amacrine cell, an interneuron generated in the inner nuclear layer (INL) of the vertebrate retina. Amacrine cells integrate, modulate, and interpose a temporal domain in the visual message presented to the retinal ganglion cells, with which they synapse in the inner plexiform layer. Amacrine cells lack large axons. [CL:0000561, GOC:bf]
GO:0036305	M45136	GO	GOBP_AMELOBLAST_DIFFERENTIATION	The process in which a relatively unspecialized cell acquires specialized features of an ameloblast, a cylindrical epithelial cell in the innermost layer of the enamel organ. [CL:0000059]
GO:0097186	M14160	GO	GOBP_AMELOGENESIS	The process whose specific outcome is the formation of tooth enamel, occurring in two stages: secretory stage and maturation stage. [GOC:cjm, GOC:sl, PMID:10206335, PMID:21196346]
GO:0043604	M13137	GO	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group. [GOC:curators]
GO:0043605	M45873	GO	GOBP_AMIDE_CATABOLIC_PROCESS	The chemical reactions and pathways resulting in the breakdown of an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group. [GOC:curators]
GO:0043603	M12925	GO	GOBP_AMIDE_METABOLIC_PROCESS	The chemical reactions and pathways involving an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group, as carried out by individual cells. [GOC:curators]
GO:0042886	M42787	GO	GOBP_AMIDE_TRANSPORT	The directed movement of an amide, any compound containing one, two, or three acyl groups attached to a nitrogen atom, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:jl, ISBN:0198506732]
GO:0009309	M3353	GO	GOBP_AMINE_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of any organic compound that is weakly basic in character and contains an amino or a substituted amino group. Amines are called primary, secondary, or tertiary according to whether one, two, or three carbon atoms are attached to the nitrogen atom. [GOC:jl, ISBN:0198506732]
GO:0009310	M7838	GO	GOBP_AMINE_CATABOLIC_PROCESS	The chemical reactions and pathways resulting in the breakdown of any organic compound that is weakly basic in character and contains an amino or a substituted amino group. Amines are called primary, secondary, or tertiary according to whether one, two, or three carbon atoms are attached to the nitrogen atom. [GOC:jl, ISBN:0198506732]
GO:0009308	M7216	GO	GOBP_AMINE_METABOLIC_PROCESS	The chemical reactions and pathways involving any organic compound that is weakly basic in character and contains an amino or a substituted amino group. Amines are called primary, secondary, or tertiary according to whether one, two, or three carbon atoms are attached to the nitrogen atom. [GOC:jl, ISBN:0198506732]
GO:0015837	M22784	GO	GOBP_AMINE_TRANSPORT	The directed movement of amines, including polyamines, organic compounds containing one or more amino groups, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai, ISBN:0198506732]
GO:0006023	M11847	GO	GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages. [GOC:ai, ISBN:0198506732]
GO:0006026	M16015	GO	GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	The chemical reactions and pathways resulting in the breakdown of aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages. [GOC:ai, ISBN:0198506732]
GO:0006022	M13402	GO	GOBP_AMINOGLYCAN_METABOLIC_PROCESS	The chemical reactions and pathways involving aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages. [GOC:ai, ISBN:0198506732]
GO:0030647	M29135	GO	GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	The chemical reactions and pathways involving an aminoglycoside antibiotic, any member of a group of broad spectrum antibiotics, of similar toxicity and pharmacology, that contain an aminodeoxysugar, an amino- or guanidino-substituted inositol ring, and one or more residues of other sugars. The group includes streptomycin, neomycin, framycetin, kanamycin, paromomycin, and gentamicin. [GOC:mah, ISBN:0198506732]
GO:0140331	M40534	GO	GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION	The movement of an aminophospholipid molecule from one leaflet of a membrane bilayer to the opposite leaflet. [GOC:pg]
GO:0015917	M40387	GO	GOBP_AMINOPHOSPHOLIPID_TRANSPORT	The directed movement of aminophospholipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Aminophospholipids contain phosphoric acid as a mono- or diester and an amino (NH2) group. [GOC:ai]
GO:0043038	M10357	GO	GOBP_AMINO_ACID_ACTIVATION	The modification of an amino acid to an active form, for incorporation into a peptide, protein or other macromolecule. [GOC:jl]
GO:0008652	M11377	GO	GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of amino acids, organic acids containing one or more amino substituents. [ISBN:0198506732]
GO:0009063	M15063	GO	GOBP_AMINO_ACID_CATABOLIC_PROCESS	The chemical reactions and pathways resulting in the breakdown of amino acids, organic acids containing one or more amino substituents. [GOC:ai]
GO:0089718	M42943	GO	GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	The directed movement of an amino acid from outside of a cell, across the plasma membrane and into the cytosol. [GOC:krc, PMID:8195186]
GO:0006520	M9857	GO	GOBP_AMINO_ACID_METABOLIC_PROCESS	The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups. [ISBN:0198506732]
GO:0051933	M40466	GO	GOBP_AMINO_ACID_NEUROTRANSMITTER_REUPTAKE	The uptake of amino acid neurotransmitters by neurons or glial cells. This process leads to inactivation and recycling of neurotransmitters. [ISBN:0123668387]
GO:0043102	M23582	GO	GOBP_AMINO_ACID_SALVAGE	Any process which produces an amino acid from derivatives of it, without de novo synthesis. [GOC:jl]
GO:0003333	M11551	GO	GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	The process in which an amino acid is transported across a membrane. [GOC:dph, GOC:tb]
GO:0006865	M13394	GO	GOBP_AMINO_ACID_TRANSPORT	The directed movement of amino acids, organic acids containing one or more amino substituents, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]
GO:0046349	M11449	GO	GOBP_AMINO_SUGAR_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of any amino sugar, sugars containing an amino group in place of a hydroxyl group. [GOC:curators]
GO:0046348	M13698	GO	GOBP_AMINO_SUGAR_CATABOLIC_PROCESS	The chemical reactions and pathways resulting in the breakdown of any amino sugar, sugars containing an amino group in place of a hydroxyl group. [GOC:curators]
GO:0006040	M13955	GO	GOBP_AMINO_SUGAR_METABOLIC_PROCESS	The chemical reactions and pathways involving any amino sugar, sugars containing an amino group in place of a hydroxyl group. [GOC:jl, ISBN:0192801023]
GO:0097272	M45212	GO	GOBP_AMMONIUM_HOMEOSTASIS	Any biological process involved in the maintenance of an internal steady state of ammonium. [GOC:yaf, PMID:12695560]
GO:0097164	M10285	GO	GOBP_AMMONIUM_ION_METABOLIC_PROCESS	The chemical reactions and pathways involving the ammonium ion. [GOC:dhl, GOC:tb, PMID:14671018]
GO:0072488	M42936	GO	GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT	The process in which ammonium is transported across a membrane. Ammonium is the cation NH4+. [GOC:mah]
GO:0097113	M24743	GO	GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING	The glutamate receptor clustering process in which alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate (AMPA) receptors are localized to distinct domains in the cell membrane. [GOC:BHF, GOC:pr, GOC:sjp, PMID:12796785]
GO:0006167	M22381	GO	GOBP_AMP_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of AMP, adenosine monophosphate. [GOC:go_curators, ISBN:0198506732]
GO:0006196	M42626	GO	GOBP_AMP_CATABOLIC_PROCESS	The chemical reactions and pathways resulting in the breakdown of AMP, adenosine monophosphate. [ISBN:0198506732]
GO:0046033	M16810	GO	GOBP_AMP_METABOLIC_PROCESS	The chemical reactions and pathways involving AMP, adenosine monophosphate. [GOC:go_curators]
GO:0044209	M42798	GO	GOBP_AMP_SALVAGE	The chemical reactions and pathways resulting in the formation of adenosine monophosphate (AMP) from derivatives of it (either adenine, ADP or adenosine 3',5'-bisphosphate) without de novo synthesis. [GOC:ecd, GOC:jl, PMID:8917457, PMID:9864350]
GO:0021764	M42702	GO	GOBP_AMYGDALA_DEVELOPMENT	The progression of the amygdala over time from its initial formation until its mature state. The amygdala is an almond-shaped set of neurons in the medial temporal lobe of the brain that play a key role in processing emotions such as fear and pleasure. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0878937420]
GO:1990000	M25394	GO	GOBP_AMYLOID_FIBRIL_FORMATION	The generation of amyloid fibrils, insoluble fibrous protein aggregates exhibiting beta sheet structure, from proteins. [GOC:cvs, GOC:jj, GOC:ppm, GOC:sj, PMID:21148556, PMID:22817896, PMID:28937655, PMID:29654159]
GO:0042983	M23573	GO	GOBP_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS	The chemical reactions and pathways resulting in the formation of amyloid precursor protein (APP), the precursor of amyloid-beta, a glycoprotein associated with Alzheimer's disease. [GOC:go_curators]
